OriginalLineIdx,DateTime,Action,ApId,ClientId,BSSID,SSID
0,2023-07-16 00:00:02,connect,BassLake_Office_AP,dev_000000001,,Bass Lake Public WiFi
1,2023-07-16 00:00:02,connect,BassLake_Office_AP,dev_000000001,,Bass Lake Public WiFi
2,2023-07-16 00:00:03,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
3,2023-07-16 00:00:03,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
4,2023-07-16 00:00:03,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
5,2023-07-16 00:00:03,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
6,2023-07-16 00:00:03,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
7,2023-07-16 00:00:03,connect,BassLake_Office_AP,dev_000000001,,Bass Lake Public WiFi
8,2023-07-16 00:00:03,connect,BassLake_Office_AP,dev_000000001,,Bass Lake Public WiFi
9,2023-07-16 00:00:03,connect,BassLake_Office_AP,dev_000000001,,Bass Lake Public WiFi
10,2023-07-16 00:00:03,connect,BassLake_Office_AP,dev_000000001,,Bass Lake Public WiFi
11,2023-07-16 00:00:06,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
12,2023-07-16 00:00:07,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
13,2023-07-16 00:00:07,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
14,2023-07-16 00:00:07,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
15,2023-07-16 00:00:07,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
16,2023-07-16 00:00:07,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
17,2023-07-16 00:00:08,disconnect,Town Hall 2nd Floor IT AP,dev_000000002,,Town Hall Public WiFi
18,2023-07-16 00:00:08,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
19,2023-07-16 00:00:08,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
20,2023-07-16 00:00:08,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
21,2023-07-16 00:00:08,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
22,2023-07-16 00:00:08,connect,BassLake_Parking_Outdoor,dev_000000003,,Bass Lake Public WiFi
23,2023-07-16 00:00:08,connect,BassLake_Parking_Outdoor,dev_000000004,,Bass Lake Public WiFi
24,2023-07-16 00:00:09,connect,BassLake_Parking_Outdoor,dev_000000004,,Bass Lake Public WiFi
25,2023-07-16 00:00:09,connect,BassLake_Parking_Outdoor,dev_000000004,,Bass Lake Public WiFi
26,2023-07-16 00:00:09,connect,BassLake_Parking_Outdoor,dev_000000004,,Bass Lake Public WiFi
27,2023-07-16 00:00:09,connect,BassLake_Parking_Outdoor,dev_000000004,,Bass Lake Public WiFi
28,2023-07-16 00:00:11,connect,BassLake_Parking_Outdoor,dev_000000004,,Bass Lake Public WiFi
29,2023-07-16 00:00:22,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
30,2023-07-16 00:00:23,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
31,2023-07-16 00:00:23,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
32,2023-07-16 00:00:23,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
33,2023-07-16 00:00:23,connect,BassLake_Conf_AP,dev_000000001,,Bass Lake Public WiFi
34,2023-07-16 00:00:23,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
35,2023-07-16 00:00:24,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
36,2023-07-16 00:00:24,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
37,2023-07-16 00:00:24,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
38,2023-07-16 00:00:24,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
39,2023-07-16 00:00:45,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
40,2023-07-16 00:00:45,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
41,2023-07-16 00:00:45,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
42,2023-07-16 00:00:46,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
43,2023-07-16 00:00:46,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
44,2023-07-16 00:00:46,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
45,2023-07-16 00:00:46,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
46,2023-07-16 00:01:15,connect,BassLake_Conf_AP,dev_000000005,,Bass Lake Public WiFi
47,2023-07-16 00:01:17,connect,BassLake_Conf_AP,dev_000000003,,Bass Lake Public WiFi
48,2023-07-16 00:01:17,connect,BassLake_Conf_AP,dev_000000003,,Bass Lake Public WiFi
49,2023-07-16 00:01:18,connect,BassLake_Conf_AP,dev_000000003,,Bass Lake Public WiFi
50,2023-07-16 00:01:18,connect,BassLake_Conf_AP,dev_000000003,,Bass Lake Public WiFi
51,2023-07-16 00:01:18,connect,BassLake_Conf_AP,dev_000000003,,Bass Lake Public WiFi
52,2023-07-16 00:01:18,connect,BassLake_Conf_AP,dev_000000003,,Bass Lake Public WiFi
53,2023-07-16 00:01:27,connect,BassLake_Parking_Outdoor,dev_000000001,,Bass Lake Public WiFi
54,2023-07-16 00:01:31,connect,BassLake_Office_AP,dev_000000005,,Bass Lake Public WiFi
55,2023-07-16 00:01:32,connect,BassLake_Office_AP,dev_000000005,,Bass Lake Public WiFi
56,2023-07-16 00:01:32,connect,BassLake_Office_AP,dev_000000005,,Bass Lake Public WiFi
57,2023-07-16 00:01:32,connect,BassLake_Office_AP,dev_000000005,,Bass Lake Public WiFi
