"###Public_4###"
"ID","Date/Time","Action","Message","SSID","AP"
" 1 ","2023-07-15 17:18:03","DHCP6-SOLICIT","DHCP6 SOLICIT from client 7c:21:4a:5c:47:57(00:be:43:2d:c5:b4)","Cultural Center Public WiFi","CC_Lobby_AP"
" 2 ","2023-07-15 17:18:19","DHCP6-SOLICIT","DHCP6 SOLICIT from client 7c:21:4a:5c:47:57(00:be:43:2d:c5:b4)","Cultural Center Public WiFi","CC_Lobby_AP"
" 3 ","2023-07-15 17:18:50","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.7 from client 74:e2:0c:04:72:8a","Town Hall Public WiFi","Town Hall Engineering"
" 4 ","2023-07-15 17:18:50","DHCP-ACK","DHCP ACK for IP 172.17.0.7 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 74:e2:0c:04:72:8a from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Town Hall Public WiFi","Town Hall Engineering"
" 5 ","2023-07-15 17:18:51","DHCP6-SOLICIT","DHCP6 SOLICIT from client 7c:21:4a:5c:47:57(00:be:43:2d:c5:b4)","Cultural Center Public WiFi","CC_Lobby_AP"
" 6 ","2023-07-15 17:18:53","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.56 from client d2:89:2d:cb:0d:b9","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 7 ","2023-07-15 17:18:53","DHCP-ACK","DHCP ACK for IP 172.17.0.56 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client d2:89:2d:cb:0d:b9 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","HSPD Public WiFi","LEC_ServerRoom_Hallway_AP"
" 8 ","2023-07-15 17:19:28","DHCP6-SOLICIT","DHCP6 SOLICIT from client 54:8c:a0:06:b5:bd(54:8c:a0:06:b5:bd)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 9 ","2023-07-15 17:19:28","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.54 from client 9a:38:30:ce:fe:ea","Bass Lake Public WiFi","BassLake_Conf_AP"
" 10 ","2023-07-15 17:19:28","DHCP-ACK","DHCP ACK for IP 172.17.0.54 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 9a:38:30:ce:fe:ea from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Bass Lake Public WiFi","BassLake_Conf_AP"
" 11 ","2023-07-15 17:19:37","client-authentication","Client f8:fc:e1:db:b3:c0 authenticated.","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 12 ","2023-07-15 17:19:37","auth-req","AP received authentication request frame from client f8:fc:e1:db:b3:c0","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 13 ","2023-07-15 17:19:37","auth-resp","AP sent authentication response frame to client f8:fc:e1:db:b3:c0","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 14 ","2023-07-15 17:19:37","assoc-req","AP received association request frame from client f8:fc:e1:db:b3:c0","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 15 ","2023-07-15 17:19:37","assoc-resp","AP sent association response frame to client f8:fc:e1:db:b3:c0","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 16 ","2023-07-15 17:19:37","DHCP-DISCOVER","DHCP DISCOVER from client f8:fc:e1:db:b3:c0","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 17 ","2023-07-15 17:19:38","client-ip-detected","Client f8:fc:e1:db:b3:c0 had an IP address detected (by SAVE packets).","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 18 ","2023-07-15 17:19:38","client-ip-detected","Client f8:fc:e1:db:b3:c0 had an IPv6 address detected (by IP packets)","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 19 ","2023-07-15 17:19:38","client-ip-detected","Client f8:fc:e1:db:b3:c0 had an IP address detected (by DHCP packets).","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 20 ","2023-07-15 17:19:38","client-ip-detected","Client f8:fc:e1:db:b3:c0 had an IPv6 address detected (by IP packets)","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 21 ","2023-07-15 17:19:38","DHCP-OFFER","DHCP OFFER of IP 172.17.0.8 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client f8:fc:e1:db:b3:c0 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 22 ","2023-07-15 17:19:38","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.8 offered by server 172.17.0.254 from client f8:fc:e1:db:b3:c0","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 23 ","2023-07-15 17:19:38","DHCP-ACK","DHCP ACK for IP 172.17.0.8 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client f8:fc:e1:db:b3:c0 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","HSPD Public WiFi","LEC Outdoor Parking Lot AP"
" 24 ","2023-07-15 17:19:40","DHCP6-SOLICIT","DHCP6 SOLICIT from client b4:b6:86:44:df:c8(00:00:00:00:00:00)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 25 ","2023-07-15 17:19:43","client-authentication","Client 96:81:02:2a:be:72 authenticated.","Cultural Center Public WiFi","CC_Lobby_AP"
" 26 ","2023-07-15 17:19:44","client-ip-detected","Client 96:81:02:2a:be:72 had an IP address detected (by SAVE packets).","Cultural Center Public WiFi","CC_Lobby_AP"
" 27 ","2023-07-15 17:19:44","client-ip-detected","Client 96:81:02:2a:be:72 had an IPv6 address detected (by IP packets)","Cultural Center Public WiFi","CC_Lobby_AP"
" 28 ","2023-07-15 17:19:44","auth-req","AP received authentication request frame from client 96:81:02:2a:be:72","Cultural Center Public WiFi","CC_Lobby_AP"
" 29 ","2023-07-15 17:19:44","auth-resp","AP sent authentication response frame to client 96:81:02:2a:be:72","Cultural Center Public WiFi","CC_Lobby_AP"
" 30 ","2023-07-15 17:19:44","assoc-req","AP received association request frame from client 96:81:02:2a:be:72","Cultural Center Public WiFi","CC_Lobby_AP"
" 31 ","2023-07-15 17:19:44","assoc-resp","AP sent association response frame to client 96:81:02:2a:be:72","Cultural Center Public WiFi","CC_Lobby_AP"
" 32 ","2023-07-15 17:19:44","DHCP-DISCOVER","DHCP DISCOVER from client 96:81:02:2a:be:72","Cultural Center Public WiFi","CC_Lobby_AP"
" 33 ","2023-07-15 17:19:45","DHCP-OFFER","DHCP OFFER of IP 172.17.0.10 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 96:81:02:2a:be:72 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Cultural Center Public WiFi","CC_Lobby_AP"
" 34 ","2023-07-15 17:19:46","client-ip-detected","Client 96:81:02:2a:be:72 had an IP address detected (by DHCP packets).","Cultural Center Public WiFi","CC_Lobby_AP"
" 35 ","2023-07-15 17:19:46","client-ip-detected","Client 96:81:02:2a:be:72 had an IPv6 address detected (by IP packets)","Cultural Center Public WiFi","CC_Lobby_AP"
" 36 ","2023-07-15 17:19:46","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.10 offered by server 172.17.0.254 from client 96:81:02:2a:be:72","Cultural Center Public WiFi","CC_Lobby_AP"
" 37 ","2023-07-15 17:19:46","DHCP-ACK","DHCP ACK for IP 172.17.0.10 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 96:81:02:2a:be:72 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Cultural Center Public WiFi","CC_Lobby_AP"
" 38 ","2023-07-15 17:20:07","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.23 from client e8:51:77:0e:dc:44","Town Hall Public WiFi","Town Hall Engineering"
" 39 ","2023-07-15 17:20:07","DHCP-ACK","DHCP ACK for IP 172.17.0.23 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client e8:51:77:0e:dc:44 from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Town Hall Public WiFi","Town Hall Engineering"
" 40 ","2023-07-15 17:21:12","client-authentication","Client 56:9b:a9:fc:63:d5 authenticated.","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 41 ","2023-07-15 17:21:12","client-ip-detected","Client 56:9b:a9:fc:63:d5 had an IP address detected (by IP packets).","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 42 ","2023-07-15 17:21:13","auth-req","AP received authentication request frame from client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 43 ","2023-07-15 17:21:13","auth-resp","AP sent authentication response frame to client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 44 ","2023-07-15 17:21:13","reassoc-req","AP received reassociation request frame from client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 45 ","2023-07-15 17:21:13","reassoc-resp","AP sent reassociation response frame to client 56:9b:a9:fc:63:d5","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 46 ","2023-07-15 17:21:19","client-authentication","Client 8a:03:fa:3c:ed:9b authenticated.","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 47 ","2023-07-15 17:21:19","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IP address detected (by ARP packets).","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 48 ","2023-07-15 17:21:19","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IP address detected (by ARP packets).","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 49 ","2023-07-15 17:21:19","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IPv6 address detected (by IP packets)","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 50 ","2023-07-15 17:21:19","auth-req","AP received authentication request frame from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 51 ","2023-07-15 17:21:19","auth-resp","AP sent authentication response frame to client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 52 ","2023-07-15 17:21:19","reassoc-req","AP received reassociation request frame from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 53 ","2023-07-15 17:21:19","reassoc-resp","AP sent reassociation response frame to client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 54 ","2023-07-15 17:21:19","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.78 from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 55 ","2023-07-15 17:21:19","DHCP-ACK","DHCP ACK for IP 172.17.0.78 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 8a:03:fa:3c:ed:9b from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 56 ","2023-07-15 17:21:32","client-authentication","Client 8a:03:fa:3c:ed:9b authenticated.","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 57 ","2023-07-15 17:21:32","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IP address detected (by ARP packets).","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 58 ","2023-07-15 17:21:32","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IP address detected (by ARP packets).","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 59 ","2023-07-15 17:21:32","client-ip-detected","Client 8a:03:fa:3c:ed:9b had an IPv6 address detected (by IP packets)","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 60 ","2023-07-15 17:21:33","auth-req","AP received authentication request frame from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 61 ","2023-07-15 17:21:33","auth-resp","AP sent authentication response frame to client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 62 ","2023-07-15 17:21:33","reassoc-req","AP received reassociation request frame from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 63 ","2023-07-15 17:21:33","reassoc-resp","AP sent reassociation response frame to client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 64 ","2023-07-15 17:21:33","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.78 from client 8a:03:fa:3c:ed:9b","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 65 ","2023-07-15 17:21:33","DHCP-ACK","DHCP ACK for IP 172.17.0.78 from server 172.17.0.254 with MAC 00:09:0f:09:00:12 for client 8a:03:fa:3c:ed:9b from router 172.17.0.254 on subnet 255.255.240.0 with dns 8.8.4.4, 8.8.8.8","Fire Station 2 Public WiFi","FS2_Outside_Back_AP"
" 66 ","2023-07-15 17:21:34","DHCP6-SOLICIT","DHCP6 SOLICIT from client 54:8c:a0:06:b5:bd(54:8c:a0:06:b5:bd)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 67 ","2023-07-15 17:21:44","DHCP6-SOLICIT","DHCP6 SOLICIT from client b4:b6:86:44:df:c8(00:00:00:00:00:00)","Fire Station 1 Public WiFi","FS1_UP_HallWay_AP"
" 68 ","2023-07-15 17:21:54","client-authentication","Client 3c:f0:11:cd:e3:26 authenticated.","Town Hall Public WiFi","Town Hall Planning Lobby"
" 69 ","2023-07-15 17:21:54","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IP address detected (by DHCP packets).","Town Hall Public WiFi","Town Hall Planning Lobby"
" 70 ","2023-07-15 17:21:54","DHCP6-SOLICIT","DHCP6 SOLICIT from client 3c:f0:11:cd:e3:26(e4:b9:7a:e6:8f:f2)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 71 ","2023-07-15 17:21:55","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IP address detected (by DHCP packets).","Town Hall Public WiFi","Town Hall Planning Lobby"
" 72 ","2023-07-15 17:21:55","client-ip-detected","Client 3c:f0:11:cd:e3:26 had an IPv6 address detected (by IP packets)","Town Hall Public WiFi","Town Hall Planning Lobby"
" 73 ","2023-07-15 17:21:55","auth-req","AP received authentication request frame from client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 74 ","2023-07-15 17:21:55","auth-resp","AP sent authentication response frame to client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 75 ","2023-07-15 17:21:55","reassoc-req","AP received reassociation request frame from client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 76 ","2023-07-15 17:21:55","reassoc-resp","AP sent reassociation response frame to client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
" 77 ","2023-07-15 17:21:55","DHCP-REQUEST","DHCP REQUEST for IP 172.17.0.146 from client 3c:f0:11:cd:e3:26","Town Hall Public WiFi","Town Hall Planning Lobby"
